CUST_ID,TENURE,BALANCE_RANGE,PURCHASES_RANGE,ONEOFF_PURCHASES_RANGE,INSTALLMENTS_PURCHASES_RANGE,CASH_ADVANCE_RANGE,CREDIT_LIMIT_RANGE,PAYMENTS_RANGE,MINIMUM_PAYMENTS_RANGE,BALANCE_FREQUENCY_RANGE,PURCHASES_FREQUENCY_RANGE,ONEOFF_PURCHASES_FREQUENCY_RANGE,PURCHASES_INSTALLMENTS_FREQUENCY_RANGE,CASH_ADVANCE_FREQUENCY_RANGE,PRC_FULL_PAYMENT_RANGE,PURCHASES_TRX_RANGE,CASH_ADVANCE_TRX_RANGE,SCORE_RANGE
C11930,12,1,2,0,2,0,5,3,1,3,3,0,2,0,10,1,0,7
C11931,12,3,0,0,0,1,3,1,2,10,0,0,0,2,0,0,1,6
C11932,12,3,4,4,0,0,4,3,2,10,5,5,0,0,0,1,0,5
C11933,12,1,3,3,2,0,6,3,1,9,8,7,6,0,5,5,0,7
C11934,12,2,0,0,0,3,3,4,1,10,0,0,0,2,2,0,1,5
C11935,12,1,1,1,1,0,2,1,1,10,8,1,8,0,3,2,0,5
C11936,12,3,0,0,0,2,3,2,1,10,0,0,0,2,0,0,1,6
C11937,12,2,2,1,2,0,3,1,1,10,9,3,7,0,0,3,0,7
C11938,12,1,1,0,1,0,5,1,1,10,7,0,6,0,0,3,0,3
C11939,11,2,0,0,0,3,3,1,1,10,0,0,0,2,0,0,2,7
C11940,12,1,2,0,2,0,5,2,1,10,9,0,8,0,4,4,0,7
C11941,12,1,2,0,2,0,4,3,1,3,4,0,4,0,0,3,0,6
C11942,12,3,3,3,1,0,3,1,1,10,10,5,10,0,0,5,0,7
C11943,12,4,3,2,1,3,4,3,3,10,10,3,10,5,0,7,2,6
C11944,12,1,1,1,0,0,5,3,1,9,1,1,0,0,0,1,0,7
C11945,12,4,1,0,1,4,5,2,3,10,1,0,1,4,0,1,2,5
C11946,12,1,2,2,1,0,5,2,1,10,10,10,2,0,0,4,0,6
C11947,12,4,2,2,1,0,6,3,2,10,5,4,1,0,0,2,0,7
C11948,12,1,0,0,0,3,5,4,1,3,0,0,0,1,1,0,1,6
C11949,12,1,3,3,0,0,6,3,1,7,5,5,0,0,3,2,0,5
C11950,12,1,1,1,1,0,4,3,1,10,4,1,4,0,0,2,0,5
C11951,12,1,1,1,1,0,6,3,1,6,4,1,3,0,10,2,0,7
C11952,7,3,0,0,0,3,3,1,1,10,0,0,0,8,0,0,3,7
C11953,12,1,2,0,2,0,6,3,1,6,9,0,9,0,4,6,0,4
C11954,10,3,3,3,0,0,5,3,1,10,2,2,0,0,0,1,0,4
C11955,12,3,4,3,3,0,5,3,2,10,10,7,10,0,0,8,0,6
C11956,12,3,1,1,0,3,4,2,1,10,1,1,0,5,0,1,1,6
C11957,12,3,0,0,0,1,3,1,2,10,0,0,0,1,0,0,1,7
C11958,7,3,1,0,1,3,3,1,1,10,10,0,9,3,0,2,1,5
C11959,12,3,3,3,0,1,5,2,1,10,3,3,0,1,0,2,1,4
C11960,12,1,3,1,2,0,3,3,1,10,8,1,7,0,8,2,0,5
C11961,12,2,1,1,0,0,5,1,1,10,3,3,0,0,0,1,0,4
C11962,12,1,1,0,1,0,3,1,1,7,5,0,5,0,0,2,0,7
C11963,8,5,0,0,0,4,5,2,3,10,0,0,0,4,0,0,2,6
C11964,12,3,4,3,2,0,5,3,2,10,10,8,8,0,0,6,0,8
C11965,12,3,4,4,2,3,5,5,2,10,10,8,5,2,1,6,1,5
C11966,12,5,0,0,0,4,5,3,3,10,0,0,0,7,0,0,5,7
C11967,12,3,0,0,0,5,5,5,2,10,0,0,0,1,2,0,1,5
C11968,12,1,3,3,2,0,3,3,1,10,10,10,10,0,1,7,0,7
C11969,12,5,1,1,1,3,5,3,3,10,4,2,2,7,0,1,4,6
C11970,12,1,2,2,1,0,5,3,1,8,6,3,5,0,9,4,0,5
C11971,12,4,2,0,2,5,5,4,3,10,9,0,8,7,0,2,2,5
C11972,12,3,2,1,1,0,3,1,1,10,8,4,6,0,0,3,0,5
C11973,12,2,1,1,1,0,3,1,1,10,5,3,2,0,0,2,0,7
C11974,12,5,5,3,3,0,5,4,4,10,10,10,10,0,0,8,0,5
C11975,11,3,2,2,1,5,5,5,2,9,6,3,4,8,2,2,8,6
C11976,12,1,2,1,2,0,3,1,1,10,10,1,10,0,1,4,0,5
C11977,12,3,3,3,1,3,5,4,2,10,10,9,10,3,0,6,1,4
C11978,12,2,0,0,0,2,4,3,1,10,0,0,0,2,0,0,1,5
C11979,12,5,3,3,1,3,5,3,3,10,5,5,2,6,0,4,4,9
C11980,12,3,3,1,3,0,5,1,2,10,10,1,10,0,0,4,0,5
C11981,12,5,0,0,0,5,5,3,3,10,0,0,0,7,0,0,5,9
C11982,12,6,0,0,0,3,6,4,5,10,0,0,0,7,0,0,5,7
C11983,12,3,2,1,1,3,3,1,2,10,9,2,6,3,0,4,2,5
C11984,11,2,1,1,1,2,3,2,1,10,6,2,4,1,0,2,1,5
C11985,12,4,1,0,1,4,4,5,5,10,8,0,8,10,0,3,5,8
C11986,12,5,0,0,0,4,5,3,3,10,0,0,0,4,0,0,1,6
C11987,8,5,1,1,0,4,5,3,3,10,2,2,0,9,0,1,7,6
C11988,12,1,1,0,1,0,3,1,1,10,10,0,10,0,10,3,0,5
C11989,12,1,1,0,1,2,3,3,1,9,7,0,7,5,8,2,1,5
C11990,12,3,0,0,0,1,3,1,2,10,0,0,0,4,0,0,1,4
C11991,12,1,1,1,1,0,3,1,1,10,10,3,10,0,0,5,0,6
C11992,12,3,2,1,2,3,3,3,3,10,10,1,9,5,0,3,2,6
C11993,12,3,1,0,1,0,5,2,1,10,10,0,10,0,0,3,0,4
C11994,12,3,0,0,0,1,3,1,2,10,0,0,0,2,0,0,1,6
C11995,10,3,0,0,0,5,5,1,3,5,0,0,0,4,0,0,3,5
C11996,12,3,0,0,0,3,3,3,1,10,0,0,0,4,0,0,2,4
C11997,11,3,0,0,0,1,3,1,4,10,0,0,0,2,0,0,1,6
C11998,12,5,2,1,2,5,6,3,3,10,10,3,10,5,0,4,2,6
C11999,6,4,0,0,0,5,4,2,2,10,0,0,0,5,0,0,2,5
C12000,12,1,0,0,0,1,5,2,1,4,0,0,0,1,0,0,1,6
C12001,12,1,1,1,1,0,4,1,1,10,4,1,2,0,0,1,0,6
C12002,8,2,1,1,0,3,3,3,1,9,2,2,0,3,2,1,1,6
C12004,12,3,1,1,0,0,3,1,5,10,1,1,0,0,0,1,0,5
C12005,8,2,1,1,0,3,6,5,1,5,2,2,0,3,0,1,1,6
C12006,12,5,5,5,2,6,6,6,3,10,10,10,10,9,1,7,6,6
C12007,12,5,3,1,3,3,5,3,3,10,10,1,10,5,0,5,2,6
C12008,12,3,2,2,0,0,3,1,1,10,6,6,0,0,0,5,0,6
C12009,12,3,2,1,1,0,5,3,1,10,10,3,10,0,0,5,0,6
C12010,12,1,1,0,1,0,3,1,1,8,9,0,8,0,2,2,0,7
C12011,12,1,3,1,3,0,3,3,1,10,10,4,9,0,4,6,0,4
C12012,12,3,2,1,1,3,4,3,3,10,10,2,10,4,0,6,3,4
C12013,12,4,0,0,0,3,4,2,3,10,0,0,0,6,0,0,4,5
C12014,12,3,0,0,0,3,4,5,2,8,0,0,0,3,2,0,2,5
C12015,12,3,1,1,1,0,5,2,2,10,10,1,10,0,0,5,0,7
C12016,12,3,5,4,3,0,5,5,1,10,10,10,9,0,0,8,0,4
C12017,12,5,3,3,1,3,6,3,3,10,5,5,5,3,0,5,1,8
C12018,12,1,1,1,0,1,1,1,1,10,1,1,0,4,0,1,2,4
C12019,9,1,2,1,2,0,2,1,1,10,10,3,9,0,5,5,0,5
C12020,12,5,2,2,1,5,5,3,3,10,10,10,10,5,0,5,3,7
C12021,12,4,1,0,1,0,3,2,3,10,6,0,6,0,0,5,0,6
C12022,12,5,3,3,2,0,5,3,3,10,7,6,5,0,0,6,0,5
C12023,12,1,1,1,1,0,3,2,1,10,5,1,5,0,0,2,0,4
C12024,12,4,5,5,3,0,6,5,2,10,8,5,3,0,0,3,0,5
C12025,12,3,1,1,0,3,5,3,1,10,1,1,0,7,0,1,5,5
C12026,9,2,1,0,1,4,4,3,1,10,10,0,9,3,0,2,1,5
C12027,12,1,1,1,0,0,5,2,1,10,9,9,0,0,0,3,0,6
C12028,12,3,0,0,0,1,3,1,1,10,0,0,0,1,0,0,1,7
C12029,12,3,0,0,0,1,3,3,1,10,0,0,0,2,0,0,1,6
C12030,12,1,1,0,1,0,3,1,1,10,10,0,10,0,1,3,0,7
C12031,12,4,3,0,3,0,5,2,3,10,8,0,7,0,0,5,0,6
C12032,12,1,1,1,0,3,3,5,2,4,1,1,0,3,5,1,1,6
C12033,11,1,1,0,1,0,5,1,1,6,5,0,5,0,5,1,0,6
C12034,8,3,0,0,0,4,3,3,1,9,0,0,0,4,2,0,2,5
C12035,12,3,3,0,3,1,3,3,3,10,4,0,3,1,0,2,1,7
C12036,12,3,3,1,2,0,5,2,2,10,10,3,10,0,0,6,0,6
C12037,12,3,0,0,0,4,4,2,2,6,0,0,0,3,0,0,2,5
C12038,12,1,2,2,1,0,5,2,1,10,10,10,1,0,2,4,0,5
C12039,12,4,1,1,0,1,6,3,3,10,5,5,0,1,0,2,1,7
C12040,12,1,1,1,1,0,5,1,1,10,9,2,7,0,2,3,0,6
C12041,12,1,1,0,1,0,3,1,1,2,9,0,9,0,0,2,0,6
C12042,12,1,3,3,2,0,5,3,1,10,10,10,5,0,1,5,0,4
C12043,12,3,1,1,0,1,3,2,3,10,1,1,0,3,0,1,1,5
C12044,12,3,3,3,0,0,3,2,2,10,1,1,0,0,0,1,0,6
C12045,12,1,2,1,1,0,4,2,1,6,3,2,2,0,0,2,0,4
C12046,12,5,3,2,1,5,6,6,3,10,10,10,5,5,0,4,2,6
C12047,12,3,0,0,0,2,5,3,2,10,0,0,0,4,0,0,1,6
C12048,12,1,2,0,2,0,3,3,1,10,10,0,10,0,10,4,0,6
C12049,12,2,4,4,1,1,4,5,1,10,10,9,10,1,2,6,1,3
C12050,12,3,0,0,0,3,4,2,2,10,0,0,0,1,0,0,1,8
C12051,12,5,0,0,0,5,5,6,4,10,0,0,0,3,0,0,3,6
C12052,12,3,1,1,1,0,2,2,5,10,10,1,10,0,0,3,0,4
C12053,12,3,2,2,0,0,3,2,3,10,8,8,0,0,0,3,0,7
C12054,12,3,6,6,4,0,3,6,1,10,10,10,10,0,10,8,0,3
C12055,12,3,1,1,0,1,3,2,2,10,1,1,0,2,0,1,1,6
C12056,6,3,2,2,0,0,3,2,3,10,10,10,0,0,0,3,0,5
C12057,12,3,1,1,0,2,4,3,1,9,2,2,0,2,2,1,1,5
C12058,12,1,1,1,0,0,5,1,1,3,1,1,0,0,0,1,0,5
C12059,9,1,3,1,2,1,3,2,1,8,8,5,7,2,6,4,1,4
C12060,12,3,3,3,1,1,5,2,3,10,10,8,8,2,0,5,1,5
C12061,12,3,0,0,0,1,3,1,2,10,0,0,0,3,0,0,1,6
C12062,12,1,1,1,1,0,3,1,1,10,7,1,6,0,3,3,0,3
C12063,12,1,0,0,0,4,6,5,1,3,0,0,0,1,0,0,1,6
C12064,12,5,0,0,0,3,5,3,3,10,0,0,0,2,0,0,1,5
C12065,12,3,0,0,0,1,3,2,2,10,0,0,0,1,0,0,1,6
C12066,12,5,0,0,0,4,6,3,4,10,0,0,0,6,0,0,3,5
C12067,12,3,3,1,2,0,6,3,1,10,6,2,5,0,0,3,0,8
C12068,12,2,3,3,0,0,3,1,1,10,1,1,0,0,0,1,0,5
C12069,12,4,1,1,0,0,6,3,3,10,1,1,0,0,0,1,0,5
C12070,12,3,2,0,2,1,3,2,2,10,10,0,10,1,0,5,1,5
C12071,7,4,0,0,0,4,4,1,2,9,0,0,0,3,0,0,2,9
C12072,12,1,3,2,2,0,3,1,1,10,6,4,5,0,0,3,0,8
C12073,12,2,1,1,1,2,2,1,1,10,5,3,3,2,0,3,1,5
C12074,12,2,2,2,1,0,5,3,1,8,3,1,2,0,0,1,0,3
C12075,12,1,3,1,3,0,4,5,2,10,10,1,10,0,1,5,0,5
C12076,12,3,1,1,1,0,4,1,2,10,4,1,3,0,0,2,0,5
C12077,12,3,0,0,0,4,5,5,1,10,0,0,0,3,0,0,1,8
C12078,12,5,5,4,4,0,6,5,3,10,10,10,10,0,0,8,0,6
C12079,12,3,3,2,3,2,5,3,1,10,10,6,10,4,0,6,1,4
C12080,12,1,1,1,0,0,6,5,1,3,5,5,0,0,0,1,0,6
C12081,12,3,3,2,3,2,4,2,2,10,10,4,10,4,0,7,1,6
C12082,12,3,0,0,0,3,5,2,2,10,0,0,0,3,0,0,1,4
C12083,12,5,1,0,1,5,5,3,3,10,9,0,8,10,0,2,6,8
C12084,12,2,1,0,1,0,3,3,1,10,7,0,6,0,0,2,0,5
C12085,12,3,2,2,0,0,4,1,1,10,10,10,0,0,0,3,0,4
C12086,12,3,3,1,3,2,2,4,4,10,10,1,10,1,1,6,1,6
C12087,12,2,5,4,3,0,5,5,1,10,10,10,10,0,10,8,0,7
C12088,12,4,5,5,4,0,5,5,2,10,10,10,10,0,0,8,0,9
C12089,12,1,1,1,0,0,6,3,0,2,1,1,0,0,0,1,0,6
C12090,12,1,1,1,0,0,5,0,0,10,1,1,0,0,0,1,0,6
C12091,12,3,3,3,0,3,4,1,2,10,8,8,0,3,0,3,1,5
C12092,12,1,4,4,0,0,4,4,1,10,5,5,0,0,8,5,0,7
C12093,12,2,1,1,1,0,5,3,1,7,7,5,4,0,0,3,0,4
C12094,12,2,3,0,3,0,3,3,1,10,10,0,10,0,0,4,0,6
C12095,12,3,2,0,2,3,3,3,1,10,9,0,8,1,1,3,1,6
C12096,12,1,2,1,1,0,6,2,1,10,10,2,7,0,6,3,0,6
C12097,12,5,3,2,1,4,5,4,3,10,2,2,1,10,0,4,4,7
C12098,12,3,0,0,0,1,3,2,1,10,0,0,0,3,0,0,2,8
C12099,12,4,0,0,0,2,4,3,3,10,0,0,0,1,0,0,1,4
C12100,12,3,1,1,1,1,3,2,2,10,10,2,10,2,0,5,1,6
C12101,12,5,0,0,0,3,5,3,4,10,0,0,0,1,0,0,2,6
C12102,8,3,1,1,0,4,4,1,3,7,2,2,0,3,0,1,3,5
C12103,12,3,3,2,3,3,4,3,3,10,10,4,10,4,0,7,2,6
C12104,12,3,1,0,1,0,3,1,1,10,5,0,4,0,0,1,0,4
C12105,12,3,1,0,1,0,2,2,2,10,10,0,10,0,0,3,0,2
C12107,12,3,1,1,0,3,3,3,1,10,1,1,0,4,0,1,4,5
C12108,12,3,1,1,0,5,3,4,1,10,1,1,0,3,1,1,2,6
C12109,12,3,2,2,0,4,5,2,2,10,2,2,0,5,0,1,2,6
C12110,12,4,5,3,4,4,4,5,4,10,10,6,10,2,1,8,2,6
C12111,12,1,3,3,0,0,3,3,1,10,10,10,0,0,10,5,0,5
C12112,10,4,1,0,1,5,5,2,3,9,3,0,2,4,0,1,2,9
C12113,12,3,0,0,0,1,3,1,1,10,0,0,0,1,0,0,1,7
C12114,12,4,0,0,0,1,4,5,3,10,0,0,0,5,1,0,1,8
C12115,12,5,5,4,3,0,6,6,3,10,10,10,10,0,0,8,0,6
C12116,12,1,1,0,1,0,1,1,1,6,5,0,5,0,8,2,0,7
C12117,12,4,1,1,1,0,5,2,2,10,4,2,3,0,0,2,0,6
C12118,12,3,5,4,3,0,5,4,2,10,10,6,10,0,0,7,0,8
C12119,12,4,4,4,1,0,6,4,2,10,9,7,2,0,0,4,0,6
C12120,12,2,0,0,0,3,3,1,2,4,0,0,0,1,0,0,1,5
C12121,12,3,1,1,1,0,3,2,1,10,4,2,2,0,0,2,0,4
C12122,12,4,1,1,0,3,5,2,3,10,2,2,0,3,0,1,1,7
C12124,12,3,4,3,3,0,3,4,2,10,10,5,10,0,0,5,0,6
C12125,7,1,2,1,1,1,3,0,0,2,2,2,2,2,0,1,1,5
C12127,12,1,0,0,0,3,3,3,1,10,0,0,0,2,1,0,1,6
C12128,7,3,0,0,0,4,5,1,2,9,0,0,0,5,0,0,2,5
C12129,12,3,1,1,0,0,5,2,3,10,1,1,0,0,0,1,0,7
C12130,12,3,1,1,0,0,3,2,1,10,3,3,0,0,0,1,0,6
C12131,7,3,1,0,1,4,5,5,1,10,3,0,2,5,0,1,1,7
C12132,12,3,1,1,1,0,3,2,2,10,2,2,1,0,0,1,0,6
C12133,12,1,3,1,3,0,5,3,1,10,10,1,10,0,10,8,0,7
C12134,12,1,4,4,0,0,5,5,1,9,4,4,0,0,10,1,0,5
C12135,12,1,2,1,2,1,4,2,1,10,10,1,10,1,0,6,1,5
C12136,12,4,0,0,0,4,5,3,3,10,0,0,0,10,0,0,5,5
C12137,12,2,4,4,1,0,3,3,1,10,10,8,9,0,4,7,0,6
C12138,12,4,1,0,1,2,4,3,3,10,6,0,5,5,0,2,2,5
C12139,12,1,1,0,1,0,3,1,1,3,2,0,2,0,0,1,0,4
C12140,12,2,4,4,1,3,5,5,1,10,10,6,9,2,1,6,1,6
C12141,11,3,1,1,0,5,3,4,2,9,1,1,0,3,2,1,3,6
C12142,12,1,1,0,1,0,3,1,1,10,10,0,10,0,8,3,0,5
C12143,12,3,5,4,1,0,5,6,2,10,10,10,6,0,0,7,0,6
C12144,12,3,2,2,0,0,4,2,1,10,1,1,0,0,0,1,0,7
C12145,12,5,2,1,2,3,6,3,3,10,10,1,10,5,0,5,2,5
C12146,12,5,2,2,1,5,6,3,3,10,9,3,8,5,0,3,2,4
C12147,12,3,3,3,3,0,5,3,1,10,8,6,5,0,0,5,0,6
C12148,12,3,4,3,3,0,5,3,2,10,10,5,10,0,0,6,0,4
C12149,12,1,0,0,0,3,5,2,1,10,0,0,0,4,0,0,1,7
C12150,12,3,4,3,2,0,3,3,1,10,10,1,10,0,1,3,0,5
C12151,12,3,1,0,1,0,3,1,1,10,3,0,2,0,0,1,0,5
C12152,11,4,2,1,1,3,6,3,2,10,10,8,4,6,0,4,2,5
C12153,12,3,3,0,3,4,4,4,3,5,5,0,4,3,0,1,2,8
C12154,12,6,4,3,3,0,6,3,3,10,10,10,10,0,0,8,0,5
C12155,12,2,0,0,0,3,5,2,1,10,0,0,0,5,0,0,1,5
C12156,12,5,1,1,0,3,6,3,3,10,3,3,0,1,0,1,1,6
C12157,7,1,0,0,0,3,3,3,1,6,0,0,0,2,5,0,1,9
C12158,12,4,4,4,2,6,5,6,3,10,8,8,3,5,2,7,3,6
C12159,12,2,1,0,1,0,2,1,2,10,10,0,10,0,0,3,0,6
C12160,12,1,3,1,3,0,6,3,1,10,10,6,10,0,8,6,0,6
C12161,12,3,4,3,3,4,5,4,2,10,10,3,10,3,0,7,2,8
C12162,10,1,0,0,0,1,5,2,1,9,0,0,0,3,3,0,1,4
C12163,6,2,0,0,0,3,3,1,1,7,0,0,0,4,0,0,1,7
C12164,10,3,1,1,0,0,3,1,1,10,1,1,0,0,0,1,0,7
C12165,12,1,1,0,1,0,3,1,1,7,5,0,5,0,6,1,0,4
C12166,12,3,0,0,0,2,5,3,2,10,0,0,0,2,0,0,1,6
C12167,12,4,0,0,0,6,6,6,2,10,0,0,0,5,3,0,4,6
C12168,12,1,2,1,2,0,6,2,1,6,5,2,5,0,4,2,0,6
C12169,12,3,2,2,1,0,5,1,1,10,5,5,1,0,0,2,0,6
C12170,12,1,1,1,0,0,3,1,1,10,1,1,0,0,0,1,0,8
C12171,12,3,0,0,0,1,3,2,2,10,0,0,0,3,0,0,1,5
C12172,12,4,0,0,0,4,5,3,2,10,0,0,0,3,0,0,1,9
C12173,12,1,2,1,2,0,6,2,1,10,10,10,3,0,10,4,0,6
C12174,12,3,0,0,0,1,3,2,2,10,0,0,0,7,0,0,2,7
C12175,12,1,3,3,2,0,3,3,1,10,10,10,10,0,8,7,0,5
C12176,12,1,2,1,2,0,4,3,1,10,10,2,10,0,5,5,0,7
C12177,12,3,0,0,0,1,3,2,2,10,0,0,0,4,0,0,1,9
C12178,12,2,3,3,1,0,3,3,1,10,9,5,7,0,0,6,0,7
C12179,12,2,2,2,0,0,5,2,3,10,1,1,0,0,0,1,0,5
C12180,12,4,3,3,0,1,4,3,3,10,2,2,0,2,0,3,1,5
C12181,12,2,3,1,3,0,5,3,1,10,10,10,10,0,0,7,0,3
C12182,12,1,3,2,1,0,5,3,1,10,10,10,4,0,7,5,0,7
C12183,9,3,0,0,0,2,3,1,1,10,0,0,0,2,0,0,1,5
C12184,12,3,0,0,0,3,4,3,1,10,0,0,0,1,0,0,1,4
C12185,12,3,0,0,0,3,3,1,1,10,0,0,0,5,0,0,2,7
C12186,12,4,0,0,0,4,5,3,3,10,0,0,0,4,0,0,1,7
C12187,12,3,0,0,0,3,3,3,1,10,0,0,0,1,0,0,1,4
C12188,12,3,2,0,2,0,3,2,1,10,9,0,8,0,0,2,0,6
C12189,12,3,1,1,0,1,3,1,1,10,2,2,0,5,0,1,1,4
C12190,12,3,2,2,1,0,3,3,3,10,10,5,10,0,0,5,0,5
C12191,12,1,3,1,3,0,5,3,1,10,10,4,10,0,9,5,0,6
C12192,12,1,1,1,1,0,3,2,1,9,6,2,4,0,7,4,0,7
C12194,12,1,3,3,1,0,3,3,1,10,2,1,1,0,0,1,0,8
C12195,12,1,2,0,2,0,5,3,1,10,5,0,5,0,5,2,0,5
C12196,12,1,4,2,4,0,5,4,1,10,10,10,10,0,8,7,0,4
C12197,12,3,1,1,1,1,3,2,2,10,4,1,2,2,0,1,1,7
C12198,12,5,0,0,0,4,5,3,3,10,0,0,0,7,0,0,3,5
C12199,12,1,4,3,3,0,5,4,1,10,10,10,10,0,9,6,0,3
C12200,12,1,1,1,0,0,3,1,1,10,1,1,0,0,0,1,0,5
C12201,12,1,1,0,1,0,2,1,1,10,10,0,10,0,0,3,0,6
C12202,12,1,1,0,1,0,3,1,1,10,4,0,3,0,0,1,0,6
C12203,12,1,3,1,3,0,4,3,1,10,10,2,10,0,8,7,0,4
C12204,12,1,1,1,0,0,5,3,1,8,3,3,0,0,0,1,0,5
C12205,12,3,3,3,1,0,5,3,1,10,10,10,5,0,0,4,0,6
C12206,12,3,0,0,0,1,3,2,2,10,0,0,0,1,0,0,1,5
C12207,12,4,3,2,3,0,6,3,2,10,10,4,10,0,0,6,0,6
C12208,11,1,3,3,0,1,4,4,1,9,4,4,0,1,8,2,1,5
C12209,10,1,1,1,0,0,5,0,0,1,2,2,0,0,0,1,0,5
C12210,12,5,5,5,0,0,6,3,3,10,10,10,0,0,0,3,0,6
C12211,12,1,2,0,2,0,3,3,1,8,6,0,6,0,0,2,0,4
C12212,12,3,1,0,1,1,5,4,1,10,5,0,5,1,0,2,1,4
C12213,12,2,4,4,0,0,4,4,1,10,9,9,0,0,3,4,0,6
C12214,12,2,2,1,1,1,3,1,1,10,9,5,5,2,0,3,1,6
C12215,12,3,0,0,0,4,3,3,2,9,0,0,0,3,2,0,1,5
C12216,12,3,0,0,0,2,5,2,1,10,0,0,0,1,0,0,1,5
C12217,12,1,1,1,0,0,5,4,1,10,10,10,0,0,2,3,0,6
C12218,12,1,1,0,1,0,2,1,1,9,5,0,5,0,5,2,0,7
C12219,6,4,3,3,2,4,5,2,3,10,10,10,9,4,0,7,3,5
C12220,12,5,2,1,1,2,4,3,3,10,10,1,10,1,0,3,1,7
C12221,12,1,2,2,0,0,6,2,1,10,10,10,0,0,9,5,0,7
C12222,12,4,0,0,0,3,4,2,3,10,0,0,0,1,0,0,1,5
C12223,12,3,0,0,0,1,3,2,3,10,0,0,0,3,0,0,2,6
C12224,12,3,3,3,2,0,4,2,1,10,10,8,8,0,0,7,0,8
C12225,12,2,3,3,1,0,3,3,1,10,10,7,8,0,1,6,0,4
C12226,12,6,1,1,1,6,6,6,5,10,6,3,5,10,0,5,8,7
C12227,12,1,2,2,0,0,4,1,1,3,2,2,0,0,0,1,0,6
C12228,12,3,2,1,1,0,5,1,1,10,9,4,7,0,0,4,0,5
C12229,12,1,3,0,3,0,6,3,1,10,10,0,10,0,9,4,0,5
C12230,12,3,1,1,0,1,4,4,1,9,1,1,0,3,0,1,1,6
C12231,12,3,3,2,3,0,6,3,1,10,10,5,10,0,0,8,0,6
C12232,12,3,3,0,3,0,6,3,1,10,10,0,10,0,0,5,0,5
C12233,12,3,0,0,0,1,3,2,2,10,0,0,0,6,0,0,2,7
C12234,12,3,0,0,0,1,4,2,2,10,0,0,0,2,0,0,1,7
C12235,12,1,2,0,2,0,3,2,1,7,10,0,10,0,0,4,0,5
C12236,12,1,1,1,0,0,4,4,4,10,3,3,0,0,3,1,0,7
C12237,12,1,1,0,1,0,6,0,0,2,2,0,1,0,0,1,0,5
C12238,11,3,0,0,0,4,3,4,1,10,0,0,0,5,1,0,5,5
C12239,12,1,3,0,3,0,5,3,1,10,9,0,9,0,0,2,0,7
C12240,12,3,0,0,0,1,3,1,1,10,0,0,0,1,0,0,1,5
C12241,8,3,0,0,0,4,4,1,2,7,0,0,0,7,0,0,3,6
C12242,12,1,2,1,1,0,6,2,1,10,10,1,9,0,1,3,0,6
C12243,12,1,1,0,1,0,4,1,1,10,10,0,10,0,0,3,0,6
C12244,12,1,3,2,3,0,5,3,1,10,10,10,10,0,10,6,0,7
C12246,12,0,1,0,1,0,4,0,0,0,10,0,10,0,0,3,0,7
C12247,12,4,2,2,0,2,4,3,3,10,3,3,0,3,0,2,1,5
C12248,12,3,0,0,0,2,3,2,1,10,0,0,0,3,0,0,1,5
C12249,12,3,1,1,0,3,3,2,2,10,1,1,0,4,0,1,2,6
C12250,12,4,2,2,1,0,5,3,3,10,10,10,3,0,0,3,0,6
C12251,12,3,3,0,3,3,3,3,3,10,10,0,10,1,0,5,1,5
C12252,12,3,0,0,0,1,3,2,2,10,0,0,0,1,0,0,1,6
C12253,12,4,3,1,2,0,6,2,2,10,10,4,9,0,0,5,0,8
C12254,12,1,1,1,0,0,4,2,1,6,2,2,0,0,0,1,0,3
C12255,12,1,3,3,1,0,3,1,3,10,5,5,5,0,0,4,0,7
C12256,12,1,3,3,1,0,5,3,1,10,10,10,5,0,10,6,0,7
C12257,12,5,0,0,0,3,5,3,3,10,0,0,0,2,0,0,1,7
C12258,12,3,0,0,0,4,4,3,2,10,0,0,0,4,0,0,1,4
C12260,10,3,0,0,0,3,3,1,1,10,0,0,0,5,0,0,2,5
C12261,12,3,0,0,0,1,3,2,2,10,0,0,0,1,0,0,1,5
C12262,12,3,1,1,0,3,3,2,1,10,1,1,0,3,0,1,1,4
C12263,12,4,1,1,0,2,5,2,2,10,1,1,0,1,0,1,1,5
C12264,12,1,2,0,2,0,4,2,1,9,5,0,5,0,0,2,0,5
C12265,11,5,0,0,0,5,6,3,3,9,0,0,0,2,0,0,2,3
C12266,12,3,2,0,2,0,3,3,4,10,10,0,9,0,0,5,0,5
C12267,12,2,1,1,0,3,5,3,1,10,1,1,0,5,3,1,3,7
C12268,12,1,1,1,0,0,5,1,1,2,1,1,0,0,10,1,0,8
C12269,12,4,0,0,0,3,4,3,2,10,0,0,0,5,0,0,2,9
C12270,12,1,1,1,1,0,5,1,1,8,5,1,3,0,2,1,0,6
C12271,12,3,1,0,1,2,3,2,1,10,4,0,4,5,0,1,2,4
C12272,12,3,3,3,2,0,6,3,1,10,8,6,5,0,0,6,0,5
C12273,11,3,4,3,3,2,6,5,2,10,10,9,9,1,0,7,1,4
C12274,12,4,4,3,3,0,5,3,3,10,10,10,10,0,0,7,0,6
C12275,12,5,2,2,0,5,5,3,3,10,6,6,0,5,0,3,3,3
C12276,12,1,1,0,1,0,4,1,1,9,8,0,7,0,2,2,0,6
C12277,12,1,3,3,0,3,5,5,1,10,10,10,0,2,7,6,1,6
